run,tag,step,value
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,1,93.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,2,65.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,3,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,4,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,5,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,6,65.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,7,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,8,59.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,9,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,10,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,11,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,12,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,13,56.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,14,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,15,48.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,16,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,17,59.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,18,54.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,19,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,20,63.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,21,68.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,22,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,23,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,24,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,25,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,26,48.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,27,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,28,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,29,57.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,30,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,31,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,32,71.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,33,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,34,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,35,53.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,36,60.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,37,60.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,38,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,39,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,40,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,41,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,42,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,43,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,44,55.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,45,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,46,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,47,53.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,48,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,49,81.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,50,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,51,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,52,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,53,71.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,54,61.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,55,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,56,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,57,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,58,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,59,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,60,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,61,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,62,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,63,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,64,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,65,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,66,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,67,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,68,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,69,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,70,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,71,48.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,72,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,73,60.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,74,61.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,75,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,76,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,77,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,78,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,79,59.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,80,48.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,81,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,82,52.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,83,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,84,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,85,57.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,86,53.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,87,68.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,88,59.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,89,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,90,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,91,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,92,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,93,58.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,94,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,95,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,96,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,97,74.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,98,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,99,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,100,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,101,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,102,66.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,103,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,104,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,105,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,106,55.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,107,42.0
